10000.48607537723,.000000000000000E+000,3.711437187020222,-.3218648006808874E-003,.1878133919128470E-002,-.1330493124471747E-002,-.6534929643671442E-003,.1828397610787366,.5214684507462990E-001
10000.48607537723,8.016240718149545,3.671538929380432,-.4116606665535923E-003,.1964539381756353E-002,-.1605990276531207E-002,-.7082857504806260E-003,.1699602611971945,.4660763911435867E-001
10000.48607537723,25.51873866042869,3.373490259350123,-.7163653477643582E-003,.1142861540092126E-002,-.4104589968368069E-003,-.5867557431851937E-003,.1258940321409215,.3171134566113692E-001
10000.48607537723,49.41879888109523,2.706307527427127,-.9869603768952720E-003,-.1179143086195259E-002,.2156067971665555E-002,-.8271806025051618E-004,.6098103739048203E-001,.1387148635246725E-001
10000.48607537723,75.58120111890503,2.038022469311608,-.7979300780119780E-003,-.2563442122433375E-002,.3367933012418356E-002,.2519715063198374E-003,.2243122163652116E-001,.4743586809494477E-002
10000.48607537723,99.48126133957076,1.680774973352723,-.3761599806439312E-003,-.2556928895367763E-002,.2925199269139950E-002,.2751327187321873E-003,.9485074126263213E-002,.1905978758721133E-002
10000.48607537723,116.9837592818501,1.534716005422356,-.1532132208414486E-003,-.2169622781948043E-002,.2352422862126026E-002,.2360906421408360E-003,.4849744064137908E-002,.6529198774172780E-003
10000.48607537723,124.9999999999995,1.488565032357728,-.7296042301288342E-004,-.1949585262990067E-002,.2263999778457595E-002,.2152572440885361E-003,.3851432535418760E-002,.1541149489809222E-003
10000.48607537723,124.9999999999989,1.488565032357720,-.7296042301288312E-004,-.1949585262990058E-002,.1522018202609151E-002,.2152572440885355E-003,.3693658423994129E-002,.2471463607853254E-003
10000.48607537723,133.0162407181498,1.459244116653388,-.1305552026039483E-004,-.1720391966088455E-002,.1764116040412939E-002,.1823793855963290E-003,.2976312580590180E-002,.4833037713404520E-004
10000.48607537723,150.5187386604267,1.400239426093540,.1061744304232264E-003,-.1250749226074786E-002,.1133369957669608E-002,.1367063474371500E-003,.1398176606458477E-002,-.2217645829493086E-003
10000.48607537723,174.4187988810964,1.358998060435531,.2034663161636252E-003,-.7521464193322425E-003,.5549650115288908E-003,.5873528626755451E-004,.7811136498142856E-004,-.1120291015919942E-003
10000.48607537723,200.5812011189036,1.341817485823343,.2104742043780159E-003,-.3506249996129541E-003,.1335334990058856E-003,.2251103995977761E-004,-.5616656537543902E-003,.1810830616207679E-003
10000.48607537723,224.4812613395718,1.334391171473018,.2068219989804166E-003,-.7186095363340866E-004,-.1249134927069603E-003,-.5408580286433691E-005,-.1074937808074983E-002,.3344023649732611E-003
10000.48607537723,241.9837592818481,1.327524839284051,.2406688897418303E-003,.9931379772952289E-004,-.3785624583368360E-003,-.1123335367628680E-004,-.1262005308815812E-002,.4103488051403952E-003
10000.48607537723,249.9999999999999,1.328824799952060,.2736918939705923E-003,.1982806490805937E-003,-.1151032656487459E-002,-.1635560177725536E-004,-.1410506203582758E-002,.3236255857864621E-003
10000.48607537723,249.9999999999981,1.328824799952051,.2736918939705909E-003,.1982806490805917E-003,.6357172727260740E-003,-.1635560177725551E-004,-.1237565845039620E-002,.3963249404666155E-003
10000.48607537723,258.0162407181497,1.325511868185251,.3007606490234472E-003,.3028493367807255E-003,-.6690474250542644E-003,-.2285514534534612E-004,-.1214134082969921E-002,.3373166782439694E-003
10000.48607537723,275.5187386604276,1.324945188854163,.3528096691052540E-003,.4582563389495002E-003,-.7912636443719865E-003,-.4029666473525326E-004,-.1009437805962740E-002,-.2341146159119995E-003
10000.48607537723,299.4187988810972,1.311912996323828,.4322066327883057E-003,.6286891882467452E-003,-.1073919786004118E-002,-.6310358536606989E-004,-.4193793398383523E-003,-.7916179090126098E-003
10000.48607537723,325.5812011189054,1.299748110232298,.4709812847899747E-003,.7638262757522279E-003,-.1222584193354404E-002,-.7525294517529005E-004,.1560102315971983E-003,-.1093067602513151E-002
10000.48607537723,349.4812613395671,1.273718528752290,.4935241585829481E-003,.8611646285601478E-003,-.1375786708184453E-002,-.2830383419866169E-004,.5959579202013422E-003,-.1186387174243024E-002
10000.48607537723,366.9837592818539,1.257168612621914,.4929490451181073E-003,.9603943522736077E-003,-.1366124302220835E-002,.9407232318541439E-005,.1049264641360336E-002,-.1151645620118570E-002
10000.48607537723,375.0000000000026,1.199365357216713,.5037310807254991E-003,.9959001694488817E-003,.1638008804039790E-003,.2131823147091642E-004,.1419307602799621E-002,-.1269415329509297E-002
10000.48607537723,375.0000000000005,1.199365357216705,.5037310807254951E-003,.9959001694488760E-003,-.4099616111184935E-002,.2131823147091564E-004,.4472268785600771E-003,-.8717943708391145E-003
10000.48607537723,383.0162407181469,1.187972185189774,.6404918670401251E-003,.1114425128523583E-002,-.1631303370533209E-002,.2043722643045392E-004,.1488794267227415E-002,-.1247506955764120E-002
10000.48607537723,400.5187386604230,1.198378192973990,.5835035191235682E-003,.1253001204532166E-002,-.1886601526826535E-002,.5061072524930850E-004,.2250016127398975E-002,-.1725654479074939E-002
10000.48607537723,424.4187988810962,1.091186857429626,.7130164827435210E-003,.1822852406580280E-002,-.2510723351541989E-002,.6384768014421680E-004,.3445845218977121E-002,-.2244707682512621E-002
10000.48607537723,450.5812011189073,1.010812280135481,.8205168948158359E-003,.2161780519135187E-002,-.3010105368242373E-002,.3710770614481431E-004,.4794473305555056E-002,-.2136452153626629E-002
10000.48607537723,474.4812613395653,.8511112078449357,.1166603910724764E-002,.2178307741433161E-002,-.3305289151005932E-002,-.1928032685533234E-005,.6563732643824713E-002,-.2063156047525286E-002
